ID;marca1;marca2;IDMARCA;Carro;IDMARCA;Moto;;;;;
107;MAYBACH;JAWA;51;TICO;190;ROADSTER;;;;;
108;MAZDA;BULL;52;APPLAUSE;190;V-RAPTOR;;;;;
109;MENON;CAN-AM;52;CHARADE;190;W-16;;;;;
110;MERCURY;ACELLERA;52;CUORE;191;MOBILETE;;;;;
111;MITSUBISHI;VICTORY;52;FEROZA;192;ALTINO;;;;;
112;MG;INDIAN;52;GRAN MOVE;192;MESSAGE;;;;;
113;MINI;BRAVAX;52;MOVE VAN;192;VC;;;;;
114;MIURA;GARELLI;52;TERIOS;192;VF;;;;;
115;MORRIS;;18;AVENGER;192;VS;;;;;
116;MP LAFER;;18;DAKOTA;192;VT;;;;;
117;MPLM;;18;JOURNEY;192;VX;;;;;
118;NEWTRACK;;18;RAM;193;APACHE;;;;;
119;NISSIN;;18;STEALTH;193;CITYCOM;;;;;
120;OLDSMOBILE;;61;M-100;193;KANSAS;;;;;
121;PAG;;61;PLUTUS;193;LASER;;;;;
122;PAGANI;;61;START;193;NEXT;;;;;
123;PLYMOUTH;;61;ULC;193;RIVA;;;;;
124;PUMA;;63;ENGESA;193;ROADWIN;;;;;
125;RENO;;64;CAMPER;193;SMART;;;;;
126;REVA-I;;64;MASTER;193;SPEED;;;;;
127;ROLLS-ROYCE;;10;348;193;SUPER;;;;;
129;ROMI;;10;355;193;ZIG;;;;;
130;SEAT;;10;360;194;DY100-31;;;;;
131;UTILITARIOS AGRICOLAS;;10;456;194;DY110-20;;;;;
132;SHINERAY;;10;550;194;DY125-18;;;;;
137;SAAB;;10;575M;194;DY125-36A;;;;;
139;SHORT;;10;612;194;DY125-37;;;;;
141;SIMCA;;10;CALIFORNIA;194;DY125-5;;;;;
142;SMART;;10;F430;194;DY125-52;;;;;
143;SPYKER;;10;F599;194;DY150-12;;;;;
144;STANDARD;;3;147;194;DY200;;;;;
145;STUDEBAKER;;3;500;195;SUMMER;;;;;
146;TAC;;3;BRAVA;195;DY125-8;;;;;
147;TANGER;;3;BRAVO;195;SPACE;;;;;
148;TRIUMPH;;3;COUPE;195;PHANTON;;;;;
149;TROLLER;;3;DOBLO;195;CITY;;;;;
150;UNIMOG;;3;DUCATO CARGO;195;DY150GY;;;;;
154;WIESMANN;;3;DUNA;195;CARGO 150;;;;;
155;CADILLAC;;3;ELBA;195;CARGO 200;;;;;
156;AM GEN;;3;FIORINO;195;DY250-2;;;;;
157;BUGGY;;3;FREEMONT;196;ATLANTIS;;;;;
158;WILLYS OVERLAND;;3;GRAND SIENA;196;GPR;;;;;
161;KASEA;;3;IDEA;196;PREDATOR;;;;;
162;SATURN;;3;LINEA;196;RED BULLET;;;;;
163;SWELL MINI;;3;MAREA;196;REPLICAS;;;;;
175;SKODA;;3;OGGI;196;SENDA;;;;;
239;KARMANN GHIA;;3;PALIO;197;1098;;;;;
254;KART;;3;PANORAMA;197;1198;;;;;
258;HANOMAG;;3;PREMIO;197;749;;;;;
261;OUTROS;;3;PUNTO;197;848;;;;;
265;HILLMAN;;3;SIENA;197;996;;;;;
288;HRG;;3;STILO;197;998;;;;;
295;GAIOLA;;3;STRADA;197;999;;;;;
338;TATA;;3;TEMPRA;197;999R;;;;;
341;DITALLY;;3;TIPO;197;DESMOSEDICI;;;;;
345;RELY;;3;UNO;197;DIAVEL;;;;;
346;MCLAREN;;13;AEROSTAR;197;HYPERMOTARD;;;;;
534;GEELY;;13;ASPIRE;197;MONSTER;;;;;
;;;13;BELINA;197;MULTISTRADA;;;;;
;;;13;CLUB WAGON;197;SPORTCLASSIC;;;;;
;;;13;CONTOUR;197;SS;;;;;
;;;13;CORCEL II;197;ST-2;;;;;
;;;13;COURIER;197;ST-4;;;;;
;;;13;CROWN VICTORIA;197;STREETFIGHTER;;;;;
;;;13;DEL REY;198;MIRAGE;;;;;
;;;13;ECOSPORT;198;ONE;;;;;
;;;13;EDGE;198;ONE RACING;;;;;
;;;13;ESCORT;200;FY100-10A;;;;;
;;;13;EXPEDITION;200;FY125-19;;;;;
;;;13;EXPLORER;200;FY125-20;;;;;
;;;13;F-100;200;FY125EY-2;;;;;
;;;13;F-1000;200;FY125Y-3;;;;;
;;;13;F-150;200;FY150-3;;;;;
;;;13;F-250;200;FY150T-18;;;;;
;;;13;FIESTA;200;FY250;;;;;
;;;13;FOCUS;136;GR08T4;;;;;
;;;13;FURGLAINE;136;GR 125S/ST;;;;;
